state,iteration,value,parameter,cell_id
0,0,0,mus,SA01-Library-10-10
1,0,1,mus,SA01-Library-10-10
2,0,2,mus,SA01-Library-10-10
3,0,3,mus,SA01-Library-10-10
4,0,4,mus,SA01-Library-10-10
5,0,5,mus,SA01-Library-10-10
6,0,6,mus,SA01-Library-10-10
7,0,7,mus,SA01-Library-10-10
8,0,8,mus,SA01-Library-10-10
9,0,9,mus,SA01-Library-10-10
10,0,10,mus,SA01-Library-10-10
11,0,11,mus,SA01-Library-10-10
0,1,4.32344973811214e-14,mus,SA01-Library-10-10
1,1,1.00006506023452,mus,SA01-Library-10-10
2,1,2.00005923507616,mus,SA01-Library-10-10
3,1,2.99999999999952,mus,SA01-Library-10-10
4,1,3.99999999999998,mus,SA01-Library-10-10
5,1,5,mus,SA01-Library-10-10
6,1,6,mus,SA01-Library-10-10
7,1,7,mus,SA01-Library-10-10
8,1,8,mus,SA01-Library-10-10
9,1,9,mus,SA01-Library-10-10
10,1,10,mus,SA01-Library-10-10
11,1,11,mus,SA01-Library-10-10
0,2,1.94965611429776e-13,mus,SA01-Library-10-10
1,2,1.00005042271716,mus,SA01-Library-10-10
2,2,2.00001122672696,mus,SA01-Library-10-10
3,2,2.99999999999921,mus,SA01-Library-10-10
4,2,3.99999999999993,mus,SA01-Library-10-10
5,2,4.99999999999999,mus,SA01-Library-10-10
6,2,6,mus,SA01-Library-10-10
7,2,7,mus,SA01-Library-10-10
8,2,8,mus,SA01-Library-10-10
9,2,9,mus,SA01-Library-10-10
10,2,10,mus,SA01-Library-10-10
11,2,11,mus,SA01-Library-10-10
0,3,2.00180670455307e-13,mus,SA01-Library-10-10
1,3,1.00004799590825,mus,SA01-Library-10-10
2,3,1.99999714770437,mus,SA01-Library-10-10
3,3,2.99999999999911,mus,SA01-Library-10-10
4,3,3.99999999999992,mus,SA01-Library-10-10
5,3,4.99999999999998,mus,SA01-Library-10-10
6,3,5.99999999999999,mus,SA01-Library-10-10
7,3,7,mus,SA01-Library-10-10
8,3,8,mus,SA01-Library-10-10
9,3,9,mus,SA01-Library-10-10
10,3,10,mus,SA01-Library-10-10
11,3,11,mus,SA01-Library-10-10
0,4,2.05787086714043e-13,mus,SA01-Library-10-10
1,4,1.00004753658469,mus,SA01-Library-10-10
2,4,1.999992113321,mus,SA01-Library-10-10
3,4,2.99999999999902,mus,SA01-Library-10-10
4,4,3.99999999999992,mus,SA01-Library-10-10
5,4,4.99999999999998,mus,SA01-Library-10-10
6,4,5.99999999999999,mus,SA01-Library-10-10
7,4,7,mus,SA01-Library-10-10
8,4,8,mus,SA01-Library-10-10
9,4,9,mus,SA01-Library-10-10
10,4,10,mus,SA01-Library-10-10
11,4,11,mus,SA01-Library-10-10
0,0,20,lambdas,SA01-Library-10-10
1,0,20,lambdas,SA01-Library-10-10
2,0,20,lambdas,SA01-Library-10-10
3,0,20,lambdas,SA01-Library-10-10
4,0,20,lambdas,SA01-Library-10-10
5,0,20,lambdas,SA01-Library-10-10
6,0,20,lambdas,SA01-Library-10-10
7,0,20,lambdas,SA01-Library-10-10
8,0,20,lambdas,SA01-Library-10-10
9,0,20,lambdas,SA01-Library-10-10
10,0,20,lambdas,SA01-Library-10-10
11,0,20,lambdas,SA01-Library-10-10
0,1,4.0000492597413,lambdas,SA01-Library-10-10
1,1,64.496113633193,lambdas,SA01-Library-10-10
2,1,50.2952490861688,lambdas,SA01-Library-10-10
3,1,4.00004971117357,lambdas,SA01-Library-10-10
4,1,4.0000161450463,lambdas,SA01-Library-10-10
5,1,4.00001612536805,lambdas,SA01-Library-10-10
6,1,4.0000161209391,lambdas,SA01-Library-10-10
7,1,4.00001611942844,lambdas,SA01-Library-10-10
8,1,4.00001611877978,lambdas,SA01-Library-10-10
9,1,4.00001611845695,lambdas,SA01-Library-10-10
10,1,4.00001611827883,lambdas,SA01-Library-10-10
11,1,4.00001611817276,lambdas,SA01-Library-10-10
0,2,4.00000645821652,lambdas,SA01-Library-10-10
1,2,76.2405236203199,lambdas,SA01-Library-10-10
2,2,70.9165498895159,lambdas,SA01-Library-10-10
3,2,4.00000654771018,lambdas,SA01-Library-10-10
4,2,4.00000259693042,lambdas,SA01-Library-10-10
5,2,4.00000259755879,lambdas,SA01-Library-10-10
6,2,4.00000259803728,lambdas,SA01-Library-10-10
7,2,4.000002598244,lambdas,SA01-Library-10-10
8,2,4.00000259834083,lambdas,SA01-Library-10-10
9,2,4.00000259839087,lambdas,SA01-Library-10-10
10,2,4.00000259841894,lambdas,SA01-Library-10-10
11,2,4.00000259843576,lambdas,SA01-Library-10-10
0,3,4.00000632167746,lambdas,SA01-Library-10-10
1,3,78.6677466082647,lambdas,SA01-Library-10-10
2,3,83.4441558589699,lambdas,SA01-Library-10-10
3,3,4.00000642050507,lambdas,SA01-Library-10-10
4,3,4.00000257464832,lambdas,SA01-Library-10-10
5,3,4.00000257557256,lambdas,SA01-Library-10-10
6,3,4.00000257614885,lambdas,SA01-Library-10-10
7,3,4.00000257639286,lambdas,SA01-Library-10-10
8,3,4.00000257650658,lambdas,SA01-Library-10-10
9,3,4.0000025765653,lambdas,SA01-Library-10-10
10,3,4.00000257659825,lambdas,SA01-Library-10-10
11,3,4.00000257661801,lambdas,SA01-Library-10-10
0,4,4.00000632107199,lambdas,SA01-Library-10-10
1,4,79.1452793528513,lambdas,SA01-Library-10-10
2,4,90.7014726413987,lambdas,SA01-Library-10-10
3,4,4.00000642903884,lambdas,SA01-Library-10-10
4,4,4.0000025742069,lambdas,SA01-Library-10-10
5,4,4.00000257536633,lambdas,SA01-Library-10-10
6,4,4.00000257602247,lambdas,SA01-Library-10-10
7,4,4.00000257629735,lambdas,SA01-Library-10-10
8,4,4.00000257642515,lambdas,SA01-Library-10-10
9,4,4.00000257649112,lambdas,SA01-Library-10-10
10,4,4.00000257652817,lambdas,SA01-Library-10-10
11,4,4.00000257655041,lambdas,SA01-Library-10-10
0,0,0.0141996566802394,pi,SA01-Library-10-10
1,0,0.0381526108435711,pi,SA01-Library-10-10
2,0,0.902467005672941,pi,SA01-Library-10-10
3,0,0.0141996567143536,pi,SA01-Library-10-10
4,0,0.00344234116559112,pi,SA01-Library-10-10
5,0,0.00344234116257786,pi,SA01-Library-10-10
6,0,0.0034423411618379,pi,SA01-Library-10-10
7,0,0.00344234116157488,pi,SA01-Library-10-10
8,0,0.00344234116145907,pi,SA01-Library-10-10
9,0,0.00344234116140044,pi,SA01-Library-10-10
10,0,0.00344234116136768,pi,SA01-Library-10-10
11,0,0.00344234116134798,pi,SA01-Library-10-10
NA,0,-Inf,loglik,SA01-Library-10-10
NA,1,1195.13325518732,loglik,SA01-Library-10-10
NA,2,2059.40756825498,loglik,SA01-Library-10-10
NA,3,2189.94690540986,loglik,SA01-Library-10-10
NA,4,2200.37794621906,loglik,SA01-Library-10-10
0,NA,2.1,nus,SA01-Library-10-10
1,NA,2.1,nus,SA01-Library-10-10
2,NA,2.1,nus,SA01-Library-10-10
3,NA,2.1,nus,SA01-Library-10-10
4,NA,2.1,nus,SA01-Library-10-10
5,NA,2.1,nus,SA01-Library-10-10
6,NA,2.1,nus,SA01-Library-10-10
7,NA,2.1,nus,SA01-Library-10-10
8,NA,2.1,nus,SA01-Library-10-10
9,NA,2.1,nus,SA01-Library-10-10
10,NA,2.1,nus,SA01-Library-10-10
11,NA,2.1,nus,SA01-Library-10-10
