state,iteration,value,parameter,cell_id
0,0,0,mus,SA01-Library-10-10
1,0,1,mus,SA01-Library-10-10
2,0,2,mus,SA01-Library-10-10
3,0,3,mus,SA01-Library-10-10
4,0,4,mus,SA01-Library-10-10
5,0,5,mus,SA01-Library-10-10
6,0,6,mus,SA01-Library-10-10
7,0,7,mus,SA01-Library-10-10
8,0,8,mus,SA01-Library-10-10
9,0,9,mus,SA01-Library-10-10
10,0,10,mus,SA01-Library-10-10
11,0,11,mus,SA01-Library-10-10
0,1,4.87710027080072e-15,mus,SA01-Library-10-10
1,1,1.00000000000001,mus,SA01-Library-10-10
2,1,2.00000000000049,mus,SA01-Library-10-10
3,1,3.00010570327779,mus,SA01-Library-10-10
4,1,4.00000000000062,mus,SA01-Library-10-10
5,1,5.00000000001442,mus,SA01-Library-10-10
6,1,5.99994410647992,mus,SA01-Library-10-10
7,1,6.99999999993021,mus,SA01-Library-10-10
8,1,7.99999999999882,mus,SA01-Library-10-10
9,1,8.99999999999992,mus,SA01-Library-10-10
10,1,9.99999999999998,mus,SA01-Library-10-10
11,1,11,mus,SA01-Library-10-10
0,2,1.88610951227988e-14,mus,SA01-Library-10-10
1,2,1.00000000000009,mus,SA01-Library-10-10
2,2,2.00000000000176,mus,SA01-Library-10-10
3,2,3.00010464345449,mus,SA01-Library-10-10
4,2,4.00000000000081,mus,SA01-Library-10-10
5,2,5.00000000000885,mus,SA01-Library-10-10
6,2,5.9999465080742,mus,SA01-Library-10-10
7,2,6.99999999998538,mus,SA01-Library-10-10
8,2,7.99999999999873,mus,SA01-Library-10-10
9,2,8.99999999999985,mus,SA01-Library-10-10
10,2,9.99999999999997,mus,SA01-Library-10-10
11,2,11,mus,SA01-Library-10-10
0,3,1.81808597754685e-14,mus,SA01-Library-10-10
1,3,1.00000000000009,mus,SA01-Library-10-10
2,3,2.0000000000017,mus,SA01-Library-10-10
3,3,3.00010411389147,mus,SA01-Library-10-10
4,3,4.00000000000066,mus,SA01-Library-10-10
5,3,5.00000000000598,mus,SA01-Library-10-10
6,3,5.99995123190124,mus,SA01-Library-10-10
7,3,6.99999999998962,mus,SA01-Library-10-10
8,3,7.99999999999891,mus,SA01-Library-10-10
9,3,8.99999999999987,mus,SA01-Library-10-10
10,3,9.99999999999997,mus,SA01-Library-10-10
11,3,11,mus,SA01-Library-10-10
0,4,1.79842853539485e-14,mus,SA01-Library-10-10
1,4,1.00000000000009,mus,SA01-Library-10-10
2,4,2.0000000000017,mus,SA01-Library-10-10
3,4,3.00010387939953,mus,SA01-Library-10-10
4,4,4.00000000000059,mus,SA01-Library-10-10
5,4,5.00000000000515,mus,SA01-Library-10-10
6,4,5.999954908338,mus,SA01-Library-10-10
7,4,6.99999999999086,mus,SA01-Library-10-10
8,4,7.99999999999898,mus,SA01-Library-10-10
9,4,8.99999999999988,mus,SA01-Library-10-10
10,4,9.99999999999997,mus,SA01-Library-10-10
11,4,11,mus,SA01-Library-10-10
0,5,1.78754870523329e-14,mus,SA01-Library-10-10
1,5,1.00000000000009,mus,SA01-Library-10-10
2,5,2.0000000000017,mus,SA01-Library-10-10
3,5,3.00010377531179,mus,SA01-Library-10-10
4,5,4.00000000000056,mus,SA01-Library-10-10
5,5,5.00000000000475,mus,SA01-Library-10-10
6,5,5.99995736837838,mus,SA01-Library-10-10
7,5,6.99999999999145,mus,SA01-Library-10-10
8,5,7.99999999999902,mus,SA01-Library-10-10
9,5,8.99999999999988,mus,SA01-Library-10-10
10,5,9.99999999999997,mus,SA01-Library-10-10
11,5,11,mus,SA01-Library-10-10
0,6,1.7814147809323e-14,mus,SA01-Library-10-10
1,6,1.00000000000009,mus,SA01-Library-10-10
2,6,2.0000000000017,mus,SA01-Library-10-10
3,6,3.00010372905134,mus,SA01-Library-10-10
4,6,4.00000000000054,mus,SA01-Library-10-10
5,6,5.00000000000454,mus,SA01-Library-10-10
6,6,5.99995889795594,mus,SA01-Library-10-10
7,6,6.99999999999176,mus,SA01-Library-10-10
8,6,7.99999999999904,mus,SA01-Library-10-10
9,6,8.99999999999988,mus,SA01-Library-10-10
10,6,9.99999999999997,mus,SA01-Library-10-10
11,6,11,mus,SA01-Library-10-10
0,7,1.77793410678308e-14,mus,SA01-Library-10-10
1,7,1.00000000000009,mus,SA01-Library-10-10
2,7,2.0000000000017,mus,SA01-Library-10-10
3,7,3.00010370848014,mus,SA01-Library-10-10
4,7,4.00000000000053,mus,SA01-Library-10-10
5,7,5.00000000000442,mus,SA01-Library-10-10
6,7,5.99995981099554,mus,SA01-Library-10-10
7,7,6.99999999999192,mus,SA01-Library-10-10
8,7,7.99999999999906,mus,SA01-Library-10-10
9,7,8.99999999999989,mus,SA01-Library-10-10
10,7,9.99999999999997,mus,SA01-Library-10-10
11,7,11,mus,SA01-Library-10-10
0,8,1.77595369800782e-14,mus,SA01-Library-10-10
1,8,1.00000000000009,mus,SA01-Library-10-10
2,8,2.0000000000017,mus,SA01-Library-10-10
3,8,3.00010369933025,mus,SA01-Library-10-10
4,8,4.00000000000052,mus,SA01-Library-10-10
5,8,5.00000000000436,mus,SA01-Library-10-10
6,8,5.99996034359797,mus,SA01-Library-10-10
7,8,6.99999999999201,mus,SA01-Library-10-10
8,8,7.99999999999906,mus,SA01-Library-10-10
9,8,8.99999999999989,mus,SA01-Library-10-10
10,8,9.99999999999997,mus,SA01-Library-10-10
11,8,11,mus,SA01-Library-10-10
0,9,1.77482609603649e-14,mus,SA01-Library-10-10
1,9,1.00000000000009,mus,SA01-Library-10-10
2,9,2.0000000000017,mus,SA01-Library-10-10
3,9,3.00010369526001,mus,SA01-Library-10-10
4,9,4.00000000000052,mus,SA01-Library-10-10
5,9,5.00000000000432,mus,SA01-Library-10-10
6,9,5.99996065025424,mus,SA01-Library-10-10
7,9,6.99999999999206,mus,SA01-Library-10-10
8,9,7.99999999999906,mus,SA01-Library-10-10
9,9,8.99999999999989,mus,SA01-Library-10-10
10,9,9.99999999999997,mus,SA01-Library-10-10
11,9,11,mus,SA01-Library-10-10
0,10,1.77418421760885e-14,mus,SA01-Library-10-10
1,10,1.00000000000009,mus,SA01-Library-10-10
2,10,2.0000000000017,mus,SA01-Library-10-10
3,10,3.00010369344932,mus,SA01-Library-10-10
4,10,4.00000000000052,mus,SA01-Library-10-10
5,10,5.0000000000043,mus,SA01-Library-10-10
6,10,5.99996082551809,mus,SA01-Library-10-10
7,10,6.99999999999209,mus,SA01-Library-10-10
8,10,7.99999999999907,mus,SA01-Library-10-10
9,10,8.99999999999989,mus,SA01-Library-10-10
10,10,9.99999999999997,mus,SA01-Library-10-10
11,10,11,mus,SA01-Library-10-10
0,11,1.77381906656165e-14,mus,SA01-Library-10-10
1,11,1.00000000000009,mus,SA01-Library-10-10
2,11,2.0000000000017,mus,SA01-Library-10-10
3,11,3.0001036926438,mus,SA01-Library-10-10
4,11,4.00000000000052,mus,SA01-Library-10-10
5,11,5.00000000000429,mus,SA01-Library-10-10
6,11,5.99996092526882,mus,SA01-Library-10-10
7,11,6.9999999999921,mus,SA01-Library-10-10
8,11,7.99999999999907,mus,SA01-Library-10-10
9,11,8.99999999999989,mus,SA01-Library-10-10
10,11,9.99999999999997,mus,SA01-Library-10-10
11,11,11,mus,SA01-Library-10-10
0,12,1.77361149619274e-14,mus,SA01-Library-10-10
1,12,1.00000000000009,mus,SA01-Library-10-10
2,12,2.0000000000017,mus,SA01-Library-10-10
3,12,3.00010369228544,mus,SA01-Library-10-10
4,12,4.00000000000052,mus,SA01-Library-10-10
5,12,5.00000000000429,mus,SA01-Library-10-10
6,12,5.99996098190726,mus,SA01-Library-10-10
7,12,6.99999999999211,mus,SA01-Library-10-10
8,12,7.99999999999907,mus,SA01-Library-10-10
9,12,8.99999999999989,mus,SA01-Library-10-10
10,12,9.99999999999997,mus,SA01-Library-10-10
11,12,11,mus,SA01-Library-10-10
0,13,1.7734935889561e-14,mus,SA01-Library-10-10
1,13,1.00000000000009,mus,SA01-Library-10-10
2,13,2.0000000000017,mus,SA01-Library-10-10
3,13,3.00010369212602,mus,SA01-Library-10-10
4,13,4.00000000000051,mus,SA01-Library-10-10
5,13,5.00000000000428,mus,SA01-Library-10-10
6,13,5.99996101402346,mus,SA01-Library-10-10
7,13,6.99999999999212,mus,SA01-Library-10-10
8,13,7.99999999999907,mus,SA01-Library-10-10
9,13,8.99999999999989,mus,SA01-Library-10-10
10,13,9.99999999999997,mus,SA01-Library-10-10
11,13,11,mus,SA01-Library-10-10
0,0,20,lambdas,SA01-Library-10-10
1,0,20,lambdas,SA01-Library-10-10
2,0,20,lambdas,SA01-Library-10-10
3,0,20,lambdas,SA01-Library-10-10
4,0,20,lambdas,SA01-Library-10-10
5,0,20,lambdas,SA01-Library-10-10
6,0,20,lambdas,SA01-Library-10-10
7,0,20,lambdas,SA01-Library-10-10
8,0,20,lambdas,SA01-Library-10-10
9,0,20,lambdas,SA01-Library-10-10
10,0,20,lambdas,SA01-Library-10-10
11,0,20,lambdas,SA01-Library-10-10
0,1,4.00123748193664,lambdas,SA01-Library-10-10
1,1,4.00123755928264,lambdas,SA01-Library-10-10
2,1,4.00863344858994,lambdas,SA01-Library-10-10
3,1,20.5591037913378,lambdas,SA01-Library-10-10
4,1,4.00031403687368,lambdas,SA01-Library-10-10
5,1,4.00035252541792,lambdas,SA01-Library-10-10
6,1,16.0965245830763,lambdas,SA01-Library-10-10
7,1,4.00053241128628,lambdas,SA01-Library-10-10
8,1,4.0003162818713,lambdas,SA01-Library-10-10
9,1,4.00031363693856,lambdas,SA01-Library-10-10
10,1,4.00031333444722,lambdas,SA01-Library-10-10
11,1,4.00031324867827,lambdas,SA01-Library-10-10
0,2,4.00001117673693,lambdas,SA01-Library-10-10
1,2,4.00001119131997,lambdas,SA01-Library-10-10
2,2,4.00025303283467,lambdas,SA01-Library-10-10
3,2,20.809087671033,lambdas,SA01-Library-10-10
4,2,4.00000298119503,lambdas,SA01-Library-10-10
5,2,4.00000381162138,lambdas,SA01-Library-10-10
6,2,14.0382584624278,lambdas,SA01-Library-10-10
7,2,4.00000525233804,lambdas,SA01-Library-10-10
8,2,4.00000302909658,lambdas,SA01-Library-10-10
9,2,4.0000029843908,lambdas,SA01-Library-10-10
10,2,4.00000298874068,lambdas,SA01-Library-10-10
11,2,4.00000299050924,lambdas,SA01-Library-10-10
0,3,4.00000689442905,lambdas,SA01-Library-10-10
1,3,4.00000690803568,lambdas,SA01-Library-10-10
2,3,4.00004642002527,lambdas,SA01-Library-10-10
3,3,20.9208058401736,lambdas,SA01-Library-10-10
4,3,4.00000271512158,lambdas,SA01-Library-10-10
5,3,4.00000332306313,lambdas,SA01-Library-10-10
6,3,12.9226081686227,lambdas,SA01-Library-10-10
7,3,4.00000423851678,lambdas,SA01-Library-10-10
8,3,4.00000274060076,lambdas,SA01-Library-10-10
9,3,4.00000271033666,lambdas,SA01-Library-10-10
10,3,4.00000271496986,lambdas,SA01-Library-10-10
11,3,4.00000271675343,lambdas,SA01-Library-10-10
0,4,4.00000687951117,lambdas,SA01-Library-10-10
1,4,4.00000689317795,lambdas,SA01-Library-10-10
2,4,4.00004132279987,lambdas,SA01-Library-10-10
3,4,20.9706076908357,lambdas,SA01-Library-10-10
4,4,4.00000271943907,lambdas,SA01-Library-10-10
5,4,4.00000329756384,lambdas,SA01-Library-10-10
6,4,12.3071298523609,lambdas,SA01-Library-10-10
7,4,4.0000041405767,lambdas,SA01-Library-10-10
8,4,4.00000273909011,lambdas,SA01-Library-10-10
9,4,4.00000271066281,lambdas,SA01-Library-10-10
10,4,4.00000271493074,lambdas,SA01-Library-10-10
11,4,4.00000271658715,lambdas,SA01-Library-10-10
0,5,4.00000687947983,lambdas,SA01-Library-10-10
1,5,4.00000689318097,lambdas,SA01-Library-10-10
2,5,4.00004119672624,lambdas,SA01-Library-10-10
3,5,20.9927834457057,lambdas,SA01-Library-10-10
4,5,4.0000027218348,lambdas,SA01-Library-10-10
5,5,4.00000328391386,lambdas,SA01-Library-10-10
6,5,11.9639149760553,lambdas,SA01-Library-10-10
7,5,4.00000408799437,lambdas,SA01-Library-10-10
8,5,4.0000027384114,lambdas,SA01-Library-10-10
9,5,4.00000271099046,lambdas,SA01-Library-10-10
10,5,4.00000271505979,lambdas,SA01-Library-10-10
11,5,4.00000271664676,lambdas,SA01-Library-10-10
0,6,4.0000068794909,lambdas,SA01-Library-10-10
1,6,4.00000689320973,lambdas,SA01-Library-10-10
2,6,4.00004119341537,lambdas,SA01-Library-10-10
3,6,21.002652919607,lambdas,SA01-Library-10-10
4,6,4.00000272312507,lambdas,SA01-Library-10-10
5,6,4.00000327600713,lambdas,SA01-Library-10-10
6,6,11.7713043453042,lambdas,SA01-Library-10-10
7,6,4.00000405872485,lambdas,SA01-Library-10-10
8,6,4.00000273802818,lambdas,SA01-Library-10-10
9,6,4.00000271117123,lambdas,SA01-Library-10-10
10,6,4.00000271513131,lambdas,SA01-Library-10-10
11,6,4.00000271667993,lambdas,SA01-Library-10-10
0,7,4.00000687949701,lambdas,SA01-Library-10-10
1,7,4.00000689322509,lambdas,SA01-Library-10-10
2,7,4.00004119321389,lambdas,SA01-Library-10-10
3,7,21.0070444200499,lambdas,SA01-Library-10-10
4,7,4.00000272383436,lambdas,SA01-Library-10-10
5,7,4.00000327147582,lambdas,SA01-Library-10-10
6,7,11.6628124612202,lambdas,SA01-Library-10-10
7,7,4.00000404232239,lambdas,SA01-Library-10-10
8,7,4.00000273781156,lambdas,SA01-Library-10-10
9,7,4.00000271127198,lambdas,SA01-Library-10-10
10,7,4.00000271517122,lambdas,SA01-Library-10-10
11,7,4.00000271669846,lambdas,SA01-Library-10-10
0,8,4.00000687950037,lambdas,SA01-Library-10-10
1,8,4.00000689323335,lambdas,SA01-Library-10-10
2,8,4.00004119313801,lambdas,SA01-Library-10-10
3,8,21.0089982594415,lambdas,SA01-Library-10-10
4,8,4.00000272422899,lambdas,SA01-Library-10-10
5,8,4.00000326889446,lambdas,SA01-Library-10-10
6,8,11.6015725117444,lambdas,SA01-Library-10-10
7,8,4.00000403309274,lambdas,SA01-Library-10-10
8,8,4.00000273768905,lambdas,SA01-Library-10-10
9,8,4.0000027113285,lambdas,SA01-Library-10-10
10,8,4.00000271519363,lambdas,SA01-Library-10-10
11,8,4.00000271670886,lambdas,SA01-Library-10-10
0,9,4.00000687950223,lambdas,SA01-Library-10-10
1,9,4.00000689323783,lambdas,SA01-Library-10-10
2,9,4.0000411930945,lambdas,SA01-Library-10-10
3,9,21.0098675113721,lambdas,SA01-Library-10-10
4,9,4.00000272445009,lambdas,SA01-Library-10-10
5,9,4.00000326742829,lambdas,SA01-Library-10-10
6,9,11.5669628125469,lambdas,SA01-Library-10-10
7,9,4.00000402788625,lambdas,SA01-Library-10-10
8,9,4.00000273761973,lambdas,SA01-Library-10-10
9,9,4.00000271136033,lambdas,SA01-Library-10-10
10,9,4.00000271520625,lambdas,SA01-Library-10-10
11,9,4.00000271671472,lambdas,SA01-Library-10-10
0,10,4.00000687950326,lambdas,SA01-Library-10-10
1,10,4.00000689324027,lambdas,SA01-Library-10-10
